Time	EEG_Fp1	EEG_Fp2	PPG
오후 1:49:26.955 	0.000001	-0.000034	0.000912
오후 1:49:26.959 	0.000027	-0.000009	0.000912
오후 1:49:26.959 	0.000069	0.000028	0.000912
오후 1:49:26.962 	0.000036	0.000008	0.000912
오후 1:49:26.962 	0.000046	0.000016	0.000912
오후 1:49:26.964 	0.000042	0.000013	0.000912
오후 1:49:26.964 	0.000043	0.000013	0.000912
오후 1:49:26.972 	0.000032	0.000017	0.000912
오후 1:49:26.972 	0.000037	0.000016	0.000912
오후 1:49:26.990 	0.000042	0.000016	0.000912
오후 1:49:26.990 	0.000076	0.000050	0.000912
오후 1:49:26.993 	0.000064	0.000029	0.000912
오후 1:49:26.993 	0.000051	0.000025	0.000912
오후 1:49:26.995 	0.000063	0.000041	0.000912
오후 1:49:26.995 	0.000066	0.000038	0.000912
오후 1:49:26.998 	0.000055	0.000018	0.000912
오후 1:49:26.998 	0.000045	0.000012	0.000912
오후 1:49:27.000 	0.000041	0.000004	0.000912
오후 1:49:27.000 	0.000056	0.000010	0.000912
오후 1:49:27.026 	0.000080	0.000041	0.000912
오후 1:49:27.026 	0.000067	0.000031	0.000912
오후 1:49:27.028 	0.000061	0.000021	0.000912
오후 1:49:27.028 	0.000074	0.000028	0.000912
오후 1:49:27.031 	0.000072	0.000028	0.000912
오후 1:49:27.031 	0.000058	0.000021	0.000912
오후 1:49:27.033 	0.000056	0.000027	0.000912
오후 1:49:27.033 	0.000076	0.000040	0.000912
오후 1:49:27.034 	0.000068	0.000044	0.000912
오후 1:49:27.034 	0.000076	0.000038	0.000912
오후 1:49:27.036 	0.000076	0.000050	0.000912
오후 1:49:27.036 	0.000065	0.000037	0.000912
오후 1:49:27.054 	0.000109	0.000068	0.000912
오후 1:49:27.054 	0.000100	0.000062	0.000912
오후 1:49:27.056 	0.000076	0.000047	0.000912
오후 1:49:27.056 	0.000073	0.000038	0.000912
오후 1:49:27.057 	0.000087	0.000054	0.000912
오후 1:49:27.057 	0.000084	0.000042	0.000912
오후 1:49:27.061 	0.000066	0.000029	0.000912
오후 1:49:27.061 	0.000043	0.000021	0.000912
오후 1:49:27.064 	0.000056	0.000031	0.000912
오후 1:49:27.064 	0.000075	0.000049	0.000912
오후 1:49:27.080 	0.000072	0.000042	0.000912
오후 1:49:27.080 	0.000045	0.000023	0.000912
오후 1:49:27.082 	0.000048	0.000031	0.000912
오후 1:49:27.082 	0.000065	0.000043	0.000912
오후 1:49:27.084 	0.000061	0.000041	0.000912
오후 1:49:27.084 	0.000057	0.000031	0.000912
오후 1:49:27.086 	0.000066	0.000039	0.000912
오후 1:49:27.086 	0.000087	0.000067	0.000912
오후 1:49:27.088 	0.000080	0.000065	0.000912
오후 1:49:27.088 	0.000079	0.000057	0.000912
오후 1:49:27.090 	0.000071	0.000041	0.000912
오후 1:49:27.090 	0.000099	0.000062	0.000912
오후 1:49:27.108 	0.000098	0.000056	0.000912
오후 1:49:27.108 	0.000074	0.000034	0.000912
오후 1:49:27.111 	0.000068	0.000042	0.000912
오후 1:49:27.111 	0.000053	0.000027	0.000912
오후 1:49:27.114 	0.000072	0.000063	0.000912
오후 1:49:27.114 	0.000063	0.000049	0.000912
오후 1:49:27.115 	0.000053	0.000049	0.000912
오후 1:49:27.115 	0.000065	0.000051	0.000912
오후 1:49:27.137 	0.000053	0.000039	0.000912
오후 1:49:27.137 	0.000076	0.000048	0.000912
오후 1:49:27.139 	0.000060	0.000031	0.000912
오후 1:49:27.139 	0.000076	0.000050	0.000912
오후 1:49:27.141 	0.000070	0.000048	0.000912
오후 1:49:27.141 	0.000058	0.000047	0.000912
오후 1:49:27.146 	0.000054	0.000036	0.000912
오후 1:49:27.146 	0.000042	0.000023	0.000912
오후 1:49:27.164 	0.000063	0.000034	0.000912
오후 1:49:27.164 	0.000065	0.000045	0.000912
오후 1:49:27.166 	0.000054	0.000039	0.000912
오후 1:49:27.166 	0.000052	0.000042	0.000912
오후 1:49:27.169 	0.000058	0.000040	0.000912
오후 1:49:27.169 	0.000079	0.000038	0.000912
오후 1:49:27.171 	0.000054	0.000031	0.000912
오후 1:49:27.171 	0.000048	0.000017	0.000912
오후 1:49:27.173 	0.000030	0.000010	0.000912
오후 1:49:27.173 	0.000061	0.000043	0.000912
오후 1:49:27.195 	0.000046	0.000029	0.000912
오후 1:49:27.195 	0.000033	0.000027	0.000912
오후 1:49:27.197 	0.000049	0.000038	0.000912
오후 1:49:27.197 	0.000082	0.000064	0.000912
오후 1:49:27.199 	0.000079	0.000047	0.000912
오후 1:49:27.199 	0.000057	0.000029	0.000912
